Table,Table_Source,Table_Description,Field,Description,Order
master_health_effect,FooDB,Represents the master for the different heatlh effects. ,HE_Chebi_Name,Represents the official name given by the Chemical Entities of Biological Interest (chebi),4
master_health_effect,FooDB,Represents the master for the different heatlh effects. ,HE_Chebi_ID,Represents the official ID given by the Chemical Entities of Biological Interest (chebi),5
master_health_effect,FooDB,Represents the master for the different heatlh effects. ,HE_Chebi_Definition,Represents the official definition given by the Chemical Entities of Biological Interest (chebi),6
master_ingredient,Mixed,Represents the master for the ingredients,ID_Ingredient,Represents the primary key for the table master_ingredient,1
master_ingredient,Mixed,Represents the master for the ingredients,Ingredient_Name,Represents the name of the ingredient in English,2
master_ingredient,Mixed,Represents the master for the ingredients,Ingredient_Comment,Represents any relevant comment about the ingredient,8
master_ingredient,Mixed,Represents the master for the ingredients,R_Cup,Represents the relationship between 100 grams of this ingredient and 1 Cup. ,9
master_ingredient,Mixed,Represents the master for the ingredients,R_Unit,Represents the relationship between 100 grams of this ingredient and 1 Unit,10
master_ingredient,Mixed,Represents the master for the ingredients,R_Spoon,Represents the relationship between 100 grams of this ingredient and 1 Table Spoon. ,11
master_ingredient,Mixed,Represents the master for the ingredients,R_Liter,Represents the relationship between 100 grams of this ingredient and 1 Liter. ,12
master_ingredient,Mixed,Represents the master for the ingredients,Ingredient_Icon_Reference,Represents the icon to be used as reference in the web App. ,13
master_ingredient,Mixed,Represents the master for the ingredients,FAO_Item_Code,Represents the code for the ingredient at the FAO.,14
master_ingredient,Mixed,Represents the master for the ingredients,FAO_Index_Factor,"Represents the factor to multiply the FAO Index with its correlative FAO Code. If the ingredient exists in FAO Code it should be 1, otherwise it would be a factor depending on the most close FAO Code. ",15
master_language,Own,Represents the master of languages to allow in the future multilanguage applications. ,ID_Language,Represents the primary key for the table master_language,1
master_language,Own,Represents the master of languages to allow in the future multilanguage applications. ,Language_Name,Represents the name of the language in English,2
master_menu,Own,Represents the master of menus. ,ID_Menu,Represents the primary key for the table master_menu,1
master_menu,Own,Represents the master of menus. ,Menu_Name,Represents the name of the menu in its original language,2
master_menu,Own,Represents the master of menus. ,Menu_Category,"Represents the category of the menu. Complete for all dishes, incomplete for partial dishes and test. ",3
master_menu,Own,Represents the master of menus. ,Menu_Objective,"Represents the objective of the menu. Maximum nutrition, weight loss, gain loss, training and so on. ",4
master_menu,Own,Represents the master of menus. ,Menu_Comments,Represents the comments to annotate any additional information regarding the menu,5
master_nutrient,USDA,Represents the master of nutrients ,ID_Nutrient,Represents the primary key for the table master_nutrient,1
master_nutrient,USDA,Represents the master of nutrients ,Nutrient_Name,Represents the name in English for the nutrient,2
master_nutrient,USDA,Represents the master of nutrients ,Nutrient_Category,"Represents the category in English for the nutrient clasifying in Protein, Carbs, Fats, Vitamins and Minerals. ",3
master_nutrient,USDA,Represents the master of nutrients ,Nutrient_Subcategory,Represents the subcategory in English for the nutrient giving additional information into the Category,4
master_nutrient,USDA,Represents the master of nutrients ,ID_Unit,Represents the link with the master_unit table,5
master_nutrient,USDA,Represents the master of nutrients ,Nutrient_RFDA,Represents the Recommend Dairy Intake for this nutrient according to the nutrient,6
master_nutrient,USDA,Represents the master of nutrients ,Nutrient_Toxic_Level,Represents the level where the nutrient could turn toxic. ,7
master_nutrient,USDA,Represents the master of nutrients ,Nutrient_Calories,Represents the calories per gram that this nutrient provides. ,8
master_nutrient,USDA,Represents the master of nutrients ,Nutrient_AminoAcid_Score,"Represents an indicator if this nutrient is part of the Amino Acid Score.  0 if no, 1 if yes. ",9
master_nutrient,USDA,Represents the master of nutrients ,Nutrient_Complete_Score,"Represents an indicator if this nutrient is part of the Complete Score.  0 if no, 1 if yes. ",10
master_nutrient,USDA,Represents the master of nutrients ,Nutrient_Satiety,"Represents an indicator if this nutrient is part of the Satiety calculation.  0 if no, 1 if yes. ",11
master_nutrient,USDA,Represents the master of nutrients ,Nutrient_Mol_Weight,Represents the molecular weight for this nutrient,12
master_recipe,Own,Represents the master of the recipes stored in the database,ID_Recipe,Represents the  primary key for the table master_recipe,1
master_recipe,Own,Represents the master of the recipes stored in the database,Recipe_Name,Represents the name of the recipe in English,2
master_recipe,Own,Represents the master of the recipes stored in the database,Recipe_Original_Name,Represents the name of the recipe in its original language,3
master_recipe,Own,Represents the master of the recipes stored in the database,Recipe_Category,"Represents the category of the recipe. For example: Dessert, Soup, Salad, Main Dish, Entrance, Breakfast",4
master_recipe,Own,Represents the master of the recipes stored in the database,Recipe_Portions,Represents the numbers of portions that the recipe could provide  with the given ingredients list. ,5
master_recipe,Own,Represents the master of the recipes stored in the database,ID_Source,Represents the link with the master_source table,6
master_recipe,Own,Represents the master of the recipes stored in the database,Recipe_Page,Represents the number of the page where you could find this recipe on the source. ,7
master_recipe,Own,Represents the master of the recipes stored in the database,Recipe_Link,Represents the link (if available) for the specific recipe,8
master_recipe,Own,Represents the master of the recipes stored in the database,Recipe_Notes,Represents the notes for the recipe,9
master_source,Own,"Represents the master for the recipe sources, it could be cooking books, own references or the web.",ID_Source,Represents the primary key for the table master_source,1
master_source,Own,"Represents the master for the recipe sources, it could be cooking books, own references or the web.",Source_Name,Represents the name of the source in its original language. ,2
master_source,Own,"Represents the master for the recipe sources, it could be cooking books, own references or the web.",Source_Link,Represents the online link (if available) for the source,3
master_supplier,Own,Represents the master for the supplier of the ingredients. It allows to track real costs for the ingredients. ,ID_Suppplier,Represents the primary key for the table master_supplier,1
master_supplier,Own,Represents the master for the supplier of the ingredients. It allows to track real costs for the ingredients. ,Supplier_Name,"Represents the name of the supplier as it is. If a supplier is in several countries, there should be a record for each supplier-country combination. ",2
master_supplier,Own,Represents the master for the supplier of the ingredients. It allows to track real costs for the ingredients. ,ID_Country,Represents the link with the table master_country. It is related with the country where the supplier sells its products. ,3
master_technique,Own,Represents the master for the listed cooking techniques,ID_Technique,Represents the primary key for the table master_technique,1
master_technique,Own,Represents the master for the listed cooking techniques,Technique_Name,Represents the name of the technique in english,2
master_technique,Own,Represents the master for the listed cooking techniques,Technique_Link_Symbol,Represents the name of the symbol that represents this technique into the web app,3
master_technique,Own,Represents the master for the listed cooking techniques,Effective_Time,"Represents if it requires an effective time from the person that is cooking or it is waiting time. If it is waiting time the field would be 0, otherwise 1. ",4
master_unit,Own,Represents the master for the units typically use during the cooking process,ID_Unit,Represents the primary key for the table master_unit,1
master_unit,Own,Represents the master for the units typically use during the cooking process,Unit_Name,Represents the name for the cooking unit. It is described in English,2
